id	time	lesion_area	leaf_area	ichloro_sum	x	y
SM2_64	17	9250	9377	1861.307103540771	1081.5	1857.0
SM2_65	17	4879	7967	3342.5631576443275	1234.5	1842.0
SM2_66	17	10707	16425	7232.318805215242	1431.0	1795.5
SM2_67	17	9786	13873	5577.905197556042	1584.0	1783.5
SM2_68	17	10213	13291	4613.304202933205	1732.5	1783.5
SM2_69	17	6057	19936	14092.392789364967	1921.5	1782.0
SM2_70	17	4530	17653	13385.4814799468	2075.0	1773.0
SM2_71	17	2669	2960	526.9210091586767	62.5	1485.0
SM2_72	17	975	975	156.33609324028174	192.0	1503.0
SM2_73	17	3218	3218	534.002944251588	339.0	1492.5
SM2_74	17	2534	2534	524.86706923216	486.0	1537.5
SM2_75	17	1843	1858	370.7340262432753	649.5	1500.0
SM2_76	17	3825	3857	731.4895057178963	781.5	1533.0
SM2_77	17	10948	13431	4358.381066885371	963.0	1558.5
SM2_78	17	9491	16017	7674.278196599837	1149.0	1564.5
SM2_79	17	13406	17795	6726.153956112216	1345.5	1525.5
SM2_80	17	3781	4285	1042.7213881707728	1492.5	1513.5
SM2_81	17	5190	5190	875.643805678581	1615.5	1489.5
SM2_82	17	10543	11859	2606.1180776988226	1759.5	1486.5
SM2_83	17	8505	12282	4550.229272487246	1911.0	1491.0
SM2_84	17	5937	15694	10192.389822539424	2067.0	1471.5
SM1_85	17	11091	21485	12044.783066481159	64.0	1063.5
SM1_86	17	6061	24983	19196.48007722768	226.5	1051.5
SM1_87	17	7709	21350	14394.061423799993	415.5	1045.5
SM1_88	17	7428	30997	24107.48400588795	601.5	1038.0
SM1_89	17	5978	26629	21225.03548870232	799.5	1008.0
SM1_90	17	404	17311	16555.2327300831	967.5	1002.0
SM1_91	17	7602	26968	20589.52438222409	1117.5	994.5
SM1_92	17	3775	24097	20743.520813732834	1336.5	1057.5
SM1_93	17	4470	23368	19663.934188619456	1518.0	1053.0
SM1_94	17	3208	24535	21803.728340988062	1656.0	1020.0
SM1_95	17	22	19531	19304.066878616763	1917.0	1014.0
SM1_96	17	261	22041	21362.41965139037	2070.0	1041.0
SM1_97	17	8941	20149	12344.26901514583	73.0	714.0
SM1_98	17	6569	18873	12818.593126474352	205.5	729.0
SM1_99	17	9741	27023	18308.658794891537	414.0	696.0
SM1_100	17	21193	26837	9105.384971425043	601.5	675.0
SM1_101	17	5871	16825	11696.161920656525	771.0	706.5
SM1_102	17	4649	14064	9976.55487120787	954.0	678.0
SM1_103	17	5066	22217	18098.01791780933	1113.0	690.0
SM1_104	17	5613	17902	13015.777372734863	1293.0	687.0
SM1_105	17	6646	24721	18925.702237667458	1462.5	729.0
SM1_106	17	1180	28551	27225.307304971127	1654.5	705.0
SM1_107	17	10564	27671	18903.092885857055	1867.5	684.0
SM1_108	17	478	29612	28642.099963091612	2053.5	682.5
SM1_109	17	6899	26494	19702.629315413684	97.5	336.0
SM1_110	17	6563	24640	18551.046018704517	289.5	352.5
SM1_111	17	14518	29739	17565.357045706078	523.5	322.5
SM1_112	17	16297	28265	15005.441615914338	736.5	304.5
SM1_113	17	6357	34044	28272.375107980813	919.5	340.5
SM1_114	17	4967	15066	10967.474505822456	1119.0	333.0
SM1_115	17	9212	17300	9324.037071042514	1282.5	339.0
SM1_116	17	2552	17835	15290.464574278612	1459.5	348.0
SM1_117	17	713	27122	26140.211379758344	1660.5	372.0
SM1_118	17	8521	24789	18080.155259794272	1870.5	349.5
SM1_119	17	3514	28886	25803.099377914616	2026.5	336.0
SM363	18	4212	4212	425.9091823038719	108.0	3556.5
SM3_2	18	17462	17499	1960.559052081199	262.5	3565.5
SM3_3	18	8145	8145	819.4857710300086	420.0	3577.5
SM3_4	18	10112	10112	1120.6429031209711	595.5	3571.5
SM3_5	18	12864	16387	4679.691941678941	766.5	3555.0
SM3_6	18	9484	11193	2639.812244018391	948.0	3553.5
SM3_7	18	11067	13420	3465.4398476327738	1137.0	3511.5
SM3_8	18	4569	6263	1779.7788537064466	1305.0	3523.5
SM3_9	18	14255	14364	2022.964573618305	1464.0	3529.5
SM3_10	18	10912	10912	1228.7576649618002	1626.0	3526.5
SM3_11	18	11053	11259	1503.3628547191217	1803.0	3484.5
SM3_12	18	6507	8579	2274.400286599591	1971.0	3459.0
SM3_13	18	256	256	18.240531281070524	41.5	3351.0
SM3_14	18	5054	5054	541.2285768519	172.5	3330.0
SM3_15	18	10158	13977	4614.188789882475	364.5	3307.5
SM3_16	18	17635	17641	2153.2735967960243	538.5	3297.0
SM3_17	18	10428	12570	3053.621793645681	700.5	3279.0
SM3_18	18	8369	11339	3520.4718417078493	864.0	3282.0
SM3_19	18	4450	4450	518.9829863407808	1018.5	3255.0
SM3_20	18	2491	2491	271.80330550917023	1174.5	3246.0
SM3_21	18	8141	8292	1108.3028633226145	1366.5	3246.0
SM3_22	18	17847	23610	7612.100298985326	1528.5	3223.5
SM3_23	18	6207	6207	730.2062711610013	1714.5	3183.0
SM3_24	18	14895	14895	1785.0586751714907	1918.5	3178.5
SM3_25	18	9563	9592	1290.6075955441172	46.0	3055.5
SM3_26	18	3241	3835	702.2121385534737	154.5	3034.5
SM3_27	18	8869	8938	1094.574611938487	307.5	3025.5
SM3_28	18	15383	15452	2152.2556260654974	462.0	3010.5
SM3_29	18	2314	2544	469.4683870151202	604.5	3016.5
SM3_30	18	14126	14163	1897.6288533343077	780.0	3019.5
SM3_31	18	7896	17015	9648.775501793565	960.0	2956.5
SM3_32	18	12517	14710	3747.1315534546993	1128.0	2977.5
SM3_33	18	6812	6812	943.1728080916621	1287.0	2938.5
SM3_34	18	6998	9213	2738.4261999109335	1446.0	2929.5
SM3_35	18	5614	12792	7223.172685943166	1683.0	2935.5
SM3_36	18	9817	19038	9619.429309958072	1864.5	2877.0
SM3_37	18	110	110	10.931665969014059	171.0	2770.5
SM3_38	18	2647	2647	325.7365394137628	312.0	2767.5
SM3_39	18	581	593	104.32121716160256	465.0	2739.0
SM3_40	18	4460	4768	979.2385836050861	591.0	2769.0
SM3_41	18	2024	2256	489.72718519160594	732.0	2721.0
SM3_42	18	1461	1461	255.90428469745675	888.0	2691.0
SM2_43	18	13221	21125	9509.221577033051	70.0	2104.5
SM2_44	18	12321	13359	2866.4173411174966	226.5	2071.5
SM2_45	18	3017	3129	597.0168527143886	397.5	2076.0
SM2_46	18	3977	4566	1127.8603556687258	562.5	2092.5
SM2_47	18	2056	2057	390.8359598490651	714.0	2094.0
SM2_48	18	1146	1923	812.0951672279151	886.5	2103.0
SM2_49	18	6624	7840	2293.0048704662713	1045.5	2140.5
SM2_50	18	6577	11519	5597.9107339803395	1198.5	2122.5
SM2_51	18	185	290	105.82379959020932	1342.5	2092.5
SM2_52	18	6813	6957	1320.8994145423692	1485.0	2083.5
SM2_53	18	3274	3822	997.7217698925576	1636.5	2067.0
SM2_54	18	544	1855	1195.0890388624914	1777.5	2058.0
SM2_55	18	6741	9841	3958.091754860613	1942.5	2067.0
SM2_56	18	11000	12557	3323.2324153597374	2088.5	2052.0
SM2_57	18	5283	5283	774.487287479513	50.5	1800.0
SM2_58	18	3922	5407	1882.5961356587527	186.0	1779.0
SM2_59	18	5107	5107	906.8568294851194	336.0	1776.0
SM2_60	18	2622	2622	492.28542079244414	462.0	1803.0
SM2_61	18	54	54	10.102618826240864	607.5	1797.0
SM2_62	18	1247	1247	204.29966100925714	766.5	1797.0
SM2_63	18	6529	6529	1197.705208318368	934.5	1860.0
SM2_64	18	5383	5384	1026.5415290339001	1081.5	1857.0
SM2_65	18	4365	5767	1837.5263979333708	1234.5	1842.0
SM2_66	18	10269	13269	4463.2121229936	1431.0	1795.5
SM2_67	18	8131	10740	3740.7135758949053	1584.0	1783.5
SM2_68	18	7012	8793	2908.7272766882625	1732.5	1783.5
SM2_69	18	6692	18029	11600.102984582829	1921.5	1782.0
SM2_70	18	4285	14781	10700.127099112819	2075.0	1773.0
SM2_71	18	1762	1762	199.31285310466507	62.5	1485.0
SM2_72	18	104	104	14.47248679784078	192.0	1503.0
SM2_73	18	2259	2259	376.12466124711233	339.0	1492.5
SM2_74	18	885	885	180.31058472991785	486.0	1537.5
SM2_75	18	736	737	156.82527616947465	649.5	1500.0
SM2_76	18	1624	1624	333.96856575398266	781.5	1533.0
SM2_77	18	10259	10996	2591.6977067642833	963.0	1558.5
SM2_78	18	7577	11772	5194.946362845726	1149.0	1564.5
SM2_79	18	10912	13454	4580.196978871627	1345.5	1525.5
SM2_80	18	1571	1680	335.87155665347257	1492.5	1513.5
SM2_81	18	2860	2860	485.2019648016267	1615.5	1489.5
SM2_82	18	9006	9783	1813.7433491708643	1759.5	1486.5
SM2_83	18	7787	9996	2898.433097125982	1911.0	1491.0
SM2_84	18	6908	14194	7958.914823924154	2067.0	1471.5
SM1_85	18	11804	20440	10362.27967609827	64.0	1063.5
SM1_86	18	6578	22799	16568.988172140307	226.5	1051.5
SM1_87	18	8203	19079	11746.98334805331	415.5	1045.5
SM1_88	18	8054	29348	21556.66967638217	601.5	1038.0
SM1_89	18	6915	23411	17243.14006121806	799.5	1008.0
SM1_90	18	659	16123	15112.500825152278	967.5	1002.0
SM1_91	18	8590	25158	17895.150725002055	1117.5	994.5
SM1_92	18	4709	22597	18412.173510529276	1336.5	1057.5
SM1_93	18	5302	22020	17576.138270090494	1518.0	1053.0
SM1_94	18	4103	23379	19939.116570963633	1656.0	1020.0
SM1_95	18	102	18128	17836.876286209863	1917.0	1014.0
SM1_96	18	488	20624	19733.739547295652	2070.0	1041.0
SM1_97	18	10721	19673	10231.03664013594	73.0	714.0
SM1_98	18	6462	17249	11308.862258749388	205.5	729.0
SM1_99	18	10999	25673	15825.604603200427	414.0	696.0
SM1_100	18	21645	25293	6974.402261575142	601.5	675.0
SM1_101	18	6868	14877	8984.450751713202	771.0	706.5
SM1_102	18	5596	12540	7513.250340663844	954.0	678.0
SM1_103	18	6116	20799	15714.080862106832	1113.0	690.0
SM1_104	18	5880	14768	9631.45974690243	1293.0	687.0
SM1_105	18	7066	22788	16726.952373674412	1462.5	729.0
SM1_106	18	1991	27570	25562.419711869217	1654.5	705.0
SM1_107	18	11312	24534	15166.245388425024	1867.5	684.0
SM1_108	18	1242	28662	27191.274264498345	2053.5	682.5
SM1_109	18	7721	25349	17850.14215667898	97.5	336.0
SM1_110	18	7373	22976	16049.18740360748	289.5	352.5
SM1_111	18	15936	28378	14972.772006012861	523.5	322.5
SM1_112	18	18169	27172	12251.177934065146	736.5	304.5
SM1_113	18	7676	32533	25634.267313815963	919.5	340.5
SM1_114	18	6031	14161	9314.938278945137	1119.0	333.0
SM1_115	18	10175	15947	7129.376552705386	1282.5	339.0
SM1_116	18	3130	16465	13426.08402998016	1459.5	348.0
SM1_117	18	1400	26284	24850.315578377365	1660.5	372.0
SM1_118	18	10138	24087	15917.988990473901	1870.5	349.5
SM1_119	18	4278	27754	24171.997830798286	2026.5	336.0
SM363	19	4581	4581	418.91959071590344	108.0	3556.5
SM3_2	19	18109	18113	1854.1479495626456	262.5	3565.5
SM3_3	19	7442	7442	738.8176910705912	420.0	3577.5
SM3_4	19	10444	10444	1146.3673556218337	595.5	3571.5
SM3_5	19	14502	16659	3590.197062387838	766.5	3555.0
SM3_6	19	10645	11702	2170.020969024189	948.0	3553.5
SM3_7	19	13078	14368	2784.9187167210534	1137.0	3511.5
SM3_8	19	4133	5301	1284.1204069465318	1305.0	3523.5
SM3_9	19	14495	14495	1682.8105164205795	1464.0	3529.5
SM3_10	19	12941	12941	1385.5428259792052	1626.0	3526.5
SM3_11	19	11828	11931	1523.5751423081624	1803.0	3484.5
SM3_12	19	6853	8568	1872.603180727496	1971.0	3459.0
SM3_13	19	304	304	27.039860736175747	41.5	3351.0
SM3_14	19	5170	5170	528.5692322836832	172.5	3330.0
SM3_15	19	10867	13684	3663.4376175720563	364.5	3307.5
SM3_16	19	18091	18091	2173.44050967209	538.5	3297.0
SM3_17	19	10799	12551	2556.0494754636766	700.5	3279.0
SM3_18	19	10303	12314	2956.8351251041577	864.0	3282.0
SM3_19	19	4708	4708	521.5916752107057	1018.5	3255.0
SM3_20	19	2991	2991	298.856388396616	1174.5	3246.0
SM3_21	19	8699	8699	1076.024200670641	1366.5	3246.0
SM3_22	19	21218	24947	6200.704942273358	1528.5	3223.5
SM3_23	19	7324	7324	816.5542794435711	1714.5	3183.0
SM3_24	19	15271	15271	1880.394715805817	1918.5	3178.5
SM3_25	19	9442	9442	1070.8170406636973	46.0	3055.5
SM3_26	19	3768	3783	543.238191092547	154.5	3034.5
SM3_27	19	8661	8700	1031.2579371237555	307.5	3025.5
SM3_28	19	15108	15129	1998.4929734557336	462.0	3010.5
SM3_29	19	2706	2781	417.4350206770196	604.5	3016.5
SM3_30	19	14290	14290	1856.2675339456978	780.0	3019.5
SM3_31	19	9690	17499	8305.430766094425	960.0	2956.5
SM3_32	19	14118	15438	3037.8766583417378	1128.0	2977.5
SM3_33	19	7611	7611	973.5244679522272	1287.0	2938.5
SM3_34	19	8521	9687	2114.757151662592	1446.0	2929.5
SM3_35	19	7491	13294	6015.500822433683	1683.0	2935.5
SM3_36	19	11717	19043	7793.121959207016	1864.5	2877.0
SM3_37	19	188	188	17.996880006251658	171.0	2770.5
SM3_38	19	2815	2815	324.18332610927337	312.0	2767.5
SM3_39	19	460	460	76.33370835470429	465.0	2739.0
SM3_40	19	4769	4775	767.5416420471483	591.0	2769.0
SM3_41	19	2423	2546	461.5915719917546	732.0	2721.0
SM3_42	19	2435	2435	342.8339599671312	888.0	2691.0
SM2_43	19	15644	20774	6889.402548355827	70.0	2104.5
SM2_44	19	13459	13682	2264.841455236926	226.5	2071.5
SM2_45	19	4173	4180	609.0804827930997	397.5	2076.0
SM2_46	19	3298	3584	757.651909783767	562.5	2092.5
SM2_47	19	4052	4052	694.1510457531983	714.0	2094.0
SM2_48	19	1472	2014	664.925200643002	886.5	2103.0
SM2_49	19	9508	9852	1890.3791096288526	1045.5	2140.5
SM2_50	19	8465	11667	3895.6429624453444	1198.5	2122.5
SM2_51	19	157	186	49.65422593107897	1342.5	2092.5
SM2_52	19	7854	7854	1209.4422290803038	1485.0	2083.5
SM2_53	19	3688	3694	583.0642830610981	1636.5	2067.0
SM2_54	19	1066	2264	1086.610016740318	1777.5	2058.0
SM2_55	19	8568	10540	3154.9841845048722	1942.5	2067.0
SM2_56	19	12352	13543	3034.9087973595724	2088.5	2052.0
SM2_57	19	5791	5791	766.5942908088629	50.5	1800.0
SM2_58	19	4587	5790	1603.429584606908	186.0	1779.0
SM2_59	19	4856	4856	844.3237708882258	336.0	1776.0
SM2_60	19	3205	3205	547.3957758304708	462.0	1803.0
SM2_61	19	101	101	18.704025015616132	607.5	1797.0
SM2_62	19	1316	1316	194.73970383192415	766.5	1797.0
SM2_63	19	7747	7747	1291.973409839776	934.5	1860.0
SM2_64	19	6954	6954	1193.89523907427	1081.5	1857.0
SM2_65	19	5703	5877	1165.6233680599828	1234.5	1842.0
SM2_66	19	12015	13747	3606.608292107595	1431.0	1795.5
SM2_67	19	11416	12749	2942.3208590479812	1584.0	1783.5
SM2_68	19	9460	10651	2633.7878160560404	1732.5	1783.5
SM2_69	19	8544	17945	9984.136155172093	1921.5	1782.0
SM2_70	19	6676	15287	9166.883650224716	2075.0	1773.0
SM2_71	19	1163	1167	126.55622210864026	62.5	1485.0
SM2_72	19	581	581	73.81922771918929	192.0	1503.0
SM2_73	19	2236	2236	337.2949099000459	339.0	1492.5
SM2_74	19	1251	1251	247.66462816250137	486.0	1537.5
SM2_75	19	954	954	181.56541837845657	649.5	1500.0
SM2_76	19	2295	2295	412.10477275319704	781.5	1533.0
SM2_77	19	12452	12664	2464.612193075757	963.0	1558.5
SM2_78	19	8599	11743	4354.773947652296	1149.0	1564.5
SM2_79	19	11674	13474	3877.991132710523	1345.5	1525.5
SM2_80	19	2099	2099	322.663807096737	1492.5	1513.5
SM2_81	19	4728	4728	695.9880877715967	1615.5	1489.5
SM2_82	19	10631	10938	1652.8951465579778	1759.5	1486.5
SM2_83	19	9960	11096	2235.298987496322	1911.0	1491.0
SM2_84	19	8745	14587	6637.903635736924	2067.0	1471.5
SM1_85	19	13256	19164	7825.888520794534	64.0	1063.5
SM1_86	19	8476	23106	14947.886918951082	226.5	1051.5
SM1_87	19	10115	19250	10188.291483308943	415.5	1045.5
SM1_88	19	10891	30517	19964.437446888565	601.5	1038.0
SM1_89	19	10806	24038	14801.456565341148	799.5	1008.0
SM1_90	19	2076	16274	14236.762799367058	967.5	1002.0
SM1_91	19	12033	26545	16215.992168080338	1117.5	994.5
SM1_92	19	6330	22705	17045.454024385122	1336.5	1057.5
SM1_93	19	7336	21984	15652.744237818173	1518.0	1053.0
SM1_94	19	6073	23914	18815.270101306258	1656.0	1020.0
SM1_95	19	703	18753	18011.617517854884	1917.0	1014.0
SM1_96	19	1840	20835	18868.671020769496	2070.0	1041.0
SM1_97	19	12724	19581	7980.136818649189	73.0	714.0
SM1_98	19	7321	17033	10029.319849098294	205.5	729.0
SM1_99	19	13194	25063	13193.454678999038	414.0	696.0
SM1_100	19	22479	24846	5825.904429683231	601.5	675.0
SM1_101	19	8456	14886	7536.3715543489825	771.0	706.5
SM1_102	19	8153	12951	5846.061205170561	954.0	678.0
SM1_103	19	8511	20479	13414.403352469082	1113.0	690.0
SM1_104	19	7994	14865	8012.916835255678	1293.0	687.0
SM1_105	19	9263	22974	14732.55298484323	1462.5	729.0
SM1_106	19	3476	27833	24414.033915584703	1654.5	705.0
SM1_107	19	14095	23876	12242.018141800787	1867.5	684.0
SM1_108	19	3258	29362	26307.222784129946	2053.5	682.5
SM1_109	19	8836	24523	15562.065679651592	97.5	336.0
SM1_110	19	10020	23094	13679.008341257271	289.5	352.5
SM1_111	19	19224	29167	13139.990863479978	523.5	322.5
SM1_112	19	21312	28178	10505.535221240512	736.5	304.5
SM1_113	19	9460	33152	24354.852757191533	919.5	340.5
SM1_114	19	7842	14210	7896.514292976562	1119.0	333.0
SM1_115	19	12009	16077	5548.0905000401135	1282.5	339.0
SM1_116	19	4802	17064	12397.381299198114	1459.5	348.0
SM1_117	19	2421	26395	24044.02716146654	1660.5	372.0
SM1_118	19	12768	24295	13992.243472657437	1870.5	349.5
SM1_119	19	6426	28229	22859.749658453336	2026.5	336.0
SM363	20	1693	1693	161.98056508172408	108.0	3556.5
SM3_2	20	15196	15198	1721.9941298186536	262.5	3565.5
SM3_3	20	4131	4131	448.3234909911942	420.0	3577.5
SM3_4	20	9240	9240	1067.9127861503578	595.5	3571.5
SM3_5	20	14674	15922	3088.792952311101	766.5	3555.0
SM3_6	20	10382	11047	1892.9332109884415	948.0	3553.5
SM3_7	20	12982	13505	2164.930005768377	1137.0	3511.5
SM3_8	20	3785	4342	914.824409403547	1305.0	3523.5
SM3_9	20	13162	13162	1554.176277529504	1464.0	3529.5
SM3_10	20	12211	12211	1430.6272452611995	1626.0	3526.5
SM3_11	20	11379	11379	1469.4626070780205	1803.0	3484.5
SM3_12	20	6303	7248	1328.5750549960178	1971.0	3459.0
SM3_13	20	14	14	1.5129020978767116	41.5	3351.0
SM3_14	20	2931	2931	322.7432654971127	172.5	3330.0
SM3_15	20	10171	12258	2808.2037505647854	364.5	3307.5
SM3_16	20	18271	18271	2300.151876329336	538.5	3297.0
SM3_17	20	9527	10775	2088.4505037573153	700.5	3279.0
SM3_18	20	11730	12568	2200.0867643718047	864.0	3282.0
SM3_19	20	4095	4095	471.1181323471353	1018.5	3255.0
SM3_20	20	2513	2513	262.11486198366435	1174.5	3246.0
SM3_21	20	7504	7504	920.3940160236257	1366.5	3246.0
SM3_22	20	22193	24869	5414.825140905225	1528.5	3223.5
SM3_23	20	5038	5114	634.6082553258445	1714.5	3183.0
SM3_24	20	15032	15032	1872.4879908094167	1918.5	3178.5
SM3_25	20	6755	6755	795.0893031081088	46.0	3055.5
SM3_26	20	3012	3021	403.16236223966155	154.5	3034.5
SM3_27	20	7580	7580	928.4574673079142	307.5	3025.5
SM3_28	20	14119	14119	1878.4897989117521	462.0	3010.5
SM3_29	20	1240	1243	196.25965430683306	604.5	3016.5
SM3_30	20	13659	13659	1902.944245445852	780.0	3019.5
SM3_31	20	11079	17128	6992.8434988316585	960.0	2956.5
SM3_32	20	15090	15261	2372.875961292685	1128.0	2977.5
SM3_33	20	5785	5785	836.6457831164912	1287.0	2938.5
SM3_34	20	8699	9345	1732.4229227720264	1446.0	2929.5
SM3_35	20	8719	13283	5111.549174020983	1683.0	2935.5
SM3_36	20	13549	18402	6003.844116242134	1864.5	2877.0
SM3_37	20	0	0	0.0	171.0	2770.5
SM3_38	20	1821	1821	216.0843534171911	312.0	2767.5
SM3_39	20	51	51	9.379035224098672	465.0	2739.0
SM3_40	20	4451	4451	700.5364805428603	591.0	2769.0
SM3_41	20	1739	1757	321.66912507365936	732.0	2721.0
SM3_42	20	1677	1677	273.61586508065517	888.0	2691.0
SM2_43	20	14485	17357	4669.57807133225	70.0	2104.5
SM2_44	20	11587	11596	1906.2852599000155	226.5	2071.5
SM2_45	20	2428	2428	399.129986339946	397.5	2076.0
SM2_46	20	1976	1977	403.6426559082154	562.5	2092.5
SM2_47	20	1726	1726	331.49332994922554	714.0	2094.0
SM2_48	20	1068	1367	395.62451557867365	886.5	2103.0
SM2_49	20	6988	7046	1483.8824606036835	1045.5	2140.5
SM2_50	20	6568	7313	1930.318772299969	1198.5	2122.5
SM2_51	20	206	206	45.09240171609448	1342.5	2092.5
SM2_52	20	6097	6097	1097.0294820501142	1485.0	2083.5
SM2_53	20	3349	3349	564.3361173317336	1636.5	2067.0
SM2_54	20	1109	1827	721.2960567174399	1777.5	2058.0
SM2_55	20	7912	9180	2449.822226305294	1942.5	2067.0
SM2_56	20	12145	12997	2866.2269435169123	2088.5	2052.0
SM2_57	20	4067	4067	577.5036794183494	50.5	1800.0
SM2_58	20	2945	3615	977.722533937032	186.0	1779.0
SM2_59	20	3716	3716	732.0161518127272	336.0	1776.0
SM2_60	20	1899	1899	372.81845388797313	462.0	1803.0
SM2_61	20	20	20	3.5890825776764883	607.5	1797.0
SM2_62	20	335	335	59.74091479539547	766.5	1797.0
SM2_63	20	4601	4601	887.6748454185023	934.5	1860.0
SM2_64	20	4602	4602	947.0975260372504	1081.5	1857.0
SM2_65	20	4602	4604	869.1117317676881	1234.5	1842.0
SM2_66	20	10703	11774	3044.008661882538	1431.0	1795.5
SM2_67	20	11309	11512	2527.7075106065963	1584.0	1783.5
SM2_68	20	7271	8008	1954.9407864151685	1732.5	1783.5
SM2_69	20	8805	16803	8557.742570984841	1921.5	1782.0
SM2_70	20	7680	14988	8249.732392128159	2075.0	1773.0
SM2_71	20	142	142	15.465184226916206	62.5	1485.0
SM2_72	20	101	101	15.984358819559622	192.0	1503.0
SM2_73	20	1388	1388	256.8417047683635	339.0	1492.5
